Date,Price,Open,High,Low,Volume,Chg%
2024-12-31,76232,75680,76970,75572,1920,0.95
2024-12-30,75517,75443,76450,75336,10260,-0.35
2024-12-27,75783,76160,76445,75661,15260,-0.43
2024-12-26,76114,75868,76200,75760,9730,0.73
2024-12-24,75562,75625,75688,75424,10820,0.07
2024-12-23,75506,75680,75964,75352,14200,-0.37
2024-12-20,75786,75200,76025,75070,16059,0.79
2024-12-19,75191,75500,75931,75008,19350,-1.21
2024-12-18,76115,76265,76465,76011,11000,-0.26
2024-12-17,76314,76563,76585,75932,15200,-0.22
2024-12-16,76486,76500,76859,76350,13730,-0.14
2024-12-13,76592,77517,77520,76520,19860,-1.04
2024-12-12,77400,78050,78360,77130,25140,-1.13
2024-12-11,78287,77899,78360,77590,30920,0.7
2024-12-10,77745,77135,77772,76920,20600,0.97
2024-12-09,76999,76261,77273,76160,21650,1.07
2024-12-06,76185,76141,76380,75894,14610,-0.22
2024-12-05,76353,76265,76449,76195,50,0.42
2024-12-04,76036,76267,76373,75900,210,0.13
2024-12-03,75934,76095,76164,75828,180,0.16
2024-12-02,75815,76100,76189,75587,1760,-0.88
2024-11-29,76485,76605,76606,76022,5350,0.96
2024-11-28,75761,75656,76091,75434,12130,-0.04
2024-11-27,75788,75578,76164,75578,15790,0.66
2024-11-26,75293,75556,75693,74857,22000,-0.11
2024-11-25,75377,77100,77100,75260,32159,-2.84
2024-11-22,77579,77000,77637,76959,23290,1.16
2024-11-21,76689,76250,76749,76051,20720,0.9
2024-11-20,76008,75484,76135,75380,13820,0.6
2024-11-19,75555,75255,75840,75255,21000,0.69
2024-11-18,75039,74366,75165,74305,18510,1.45
2024-11-15,73965,74191,74300,73900,9820,-0.25
2024-11-14,74151,74000,74878,73334,25710,-0.49
2024-11-13,74514,75097,75333,74363,18170,-0.54
2024-11-12,74918,75502,75588,74644,26010,-0.62
2024-11-11,75382,77019,77019,75348,27620,-2.42
2024-11-08,77248,77455,77589,77031,16020,-0.18
2024-11-07,77386,76459,77427,76311,21890,0.91
2024-11-06,76689,78355,78570,76412,47170,-2.29
2024-11-05,78490,78246,78670,78157,12200,0.11
2024-11-04,78401,78450,78642,78226,13380,-0.54
2024-11-01,78829,78600,78887,78550,3200,0.64
2024-10-31,78326,79264,79999,77803,90,-1.17
2024-10-30,79257,79119,79375,78888,130,0.5
2024-10-29,78865,78438,78926,78416,190,0.9
2024-10-28,78159,77765,78304,77746,410,0.19
2024-10-25,78009,77702,78104,77411,4700,0.18
2024-10-24,77872,76786,78072,76786,10090,0.5
2024-10-23,77482,78027,78497,77255,12950,-0.97
2024-10-22,78241,77798,78300,77635,11660,0.95
2024-10-21,77508,77300,77947,77300,16329,0.45
2024-10-18,77159,76666,77260,76666,16379,0.81
2024-10-17,76540,76198,76635,76121,17750,0.49
2024-10-16,76163,75900,76350,75867,15640,0.43
2024-10-15,75838,75639,75990,75275,14740,0.38
2024-10-14,75553,75832,75928,75435,12870,-0.24
2024-10-11,75738,75177,75827,75177,15840,1.21
2024-10-10,74834,74639,74950,74267,11930,0.43
2024-10-09,74512,74895,74936,74420,12360,-0.38
2024-10-08,74799,75523,75697,74481,23990,-1.13
2024-10-07,75657,75671,75930,75452,12880,-0.13
2024-10-04,75759,75889,76109,75377,330,-0.09
2024-10-03,75827,76000,76250,75150,230,0.22
2024-10-01,75660,74867,75736,74850,640,1.09
2024-09-30,74844,75169,75359,74620,1380,-0.05
2024-09-27,74878,75329,75380,74742,7530,-0.61
2024-09-26,75339,75199,75643,75075,15810,0.23
2024-09-25,75167,75000,75240,74838,10710,0.38
2024-09-24,74886,74273,74944,74217,15990,0.95
2024-09-23,74183,74171,74299,73929,12790,0.28
2024-09-20,73977,73450,74050,73364,20000,0.85
2024-09-19,73357,72949,73525,72750,19120,0.45
2024-09-18,73029,73162,73255,72910,10650,0.01
2024-09-17,73022,73389,73492,72907,16520,-0.54
2024-09-16,73422,73415,73649,73306,12250,0.07
2024-09-13,73367,72725,73450,72725,17690,0.94
2024-09-12,72681,71850,72723,71837,27820,1.12
2024-09-11,71878,71921,72147,71601,18960,0.08
2024-09-10,71821,71601,71901,71530,13030,0.35
2024-09-09,71573,71537,71640,71109,12550,0.23
2024-09-06,71409,71932,72138,71230,27360,-0.67
2024-09-05,71890,71060,72510,71053,50,1.18
2024-09-04,71053,71076,71105,70600,70,0.35
2024-09-03,70807,71194,71365,70575,420,-0.6
2024-09-02,71233,71126,71379,71026,1090,0.05
2024-08-30,71195,71463,71697,71129,7600,-0.66
2024-08-29,71666,71403,71718,71281,14010,0.47
2024-08-28,71328,71490,71543,71062,11790,-0.31
2024-08-27,71551,71695,71696,71245,11520,0.07
2024-08-26,71500,71417,71775,71252,14690,0.29
2024-08-23,71295,70918,71465,70845,15500,0.7
2024-08-22,70796,71315,71427,70537,17530,-0.86
2024-08-21,71407,71400,71658,71061,15960,0.09
2024-08-20,71340,71049,71777,70995,20810,0.28
2024-08-19,71138,71037,71272,70803,15290,0.28
2024-08-16,70938,69979,71038,69953,27670,1.52
2024-08-14,69874,70247,70630,69718,18580,-0.69
2024-08-13,70356,70437,70549,70191,12810,0.0
2024-08-12,70354,69504,70388,69436,15900,1.08
2024-08-09,69604,69633,69698,69212,11110,0.3
2024-08-08,69396,68949,69444,68608,14890,0.94
2024-08-07,68752,68617,69044,68521,11560,0.01
2024-08-06,68742,69200,69578,68533,15710,0.15
2024-08-05,68641,69849,70000,67924,110,-1.07
2024-08-02,69381,69783,70313,69043,580,-0.04
2024-08-01,69412,68145,69849,68145,210,0.48
2024-07-31,69083,68999,69226,68800,570,0.68
2024-07-30,68617,68206,68711,68011,5730,0.6
2024-07-29,68206,68391,68633,67980,11300,0.05
2024-07-26,68173,67976,68340,67670,11300,1.01
2024-07-25,67491,68028,68210,66960,14710,-2.23
2024-07-24,69028,69000,69349,68767,12010,0.55
2024-07-23,68648,72541,72740,68600,48270,-5.5
2024-07-22,72641,72999,73199,72470,11130,-0.32
2024-07-19,72872,73700,73700,72811,17590,-1.48
2024-07-18,73965,74289,74319,73869,11900,0.06
2024-07-17,73924,74236,74498,73860,12490,-0.14
2024-07-16,74025,73519,74074,73367,16900,0.97
2024-07-15,73311,73093,73533,72923,14640,0.21
2024-07-12,73159,73040,73180,72850,10750,-0.06
2024-07-11,73205,72671,73230,72671,16520,0.79
2024-07-10,72629,72491,72916,72466,11230,0.34
2024-07-09,72385,72401,72606,72130,10680,0.07
2024-07-08,72332,72900,73040,72127,14590,-1.26
2024-07-05,73255,72225,76479,72201,70,1.53
2024-07-04,72151,72234,72244,72050,70,-0.01
2024-07-03,72160,71524,72250,71496,180,1.13
2024-07-02,71357,71358,71575,71267,180,0.04
2024-07-01,71329,71262,71560,71061,3460,0.08
2024-06-28,71275,71199,71530,71150,9020,-0.04
2024-06-27,71303,70821,71395,70665,10720,0.54
2024-06-26,70919,71230,71240,70661,13460,-0.4
2024-06-25,71201,71444,71593,71101,9040,-0.43
2024-06-24,71512,71520,71597,71260,7670,0.12
2024-06-21,71429,72348,72542,71383,19530,-1.15
2024-06-20,72258,71570,72500,71570,17690,1.03
2024-06-19,71519,71534,71639,71405,6310,0.02
2024-06-18,71503,71482,71541,71032,13010,0.31
2024-06-17,71285,71463,71586,71170,7550,-0.57
2024-06-14,71691,71111,71743,71011,15740,0.93
2024-06-13,71030,71622,71622,70875,18030,-1.07
2024-06-12,71796,71400,71990,71290,16900,0.63
2024-06-11,71346,71199,71550,70871,12030,0.06
2024-06-10,71303,71306,71380,70684,14550,-0.01
2024-06-07,71308,73296,73333,71151,29730,-2.27
2024-06-06,72963,72540,73125,72516,13140,0.66
2024-06-05,72485,71890,72599,71425,140,0.98
2024-06-04,71782,72052,72300,71400,140,-0.05
2024-06-03,71818,72880,72880,71240,270,0.16
2024-05-31,71703,71846,72341,71612,300,-0.21
2024-05-30,71852,71721,72111,71501,3440,-0.2
2024-05-29,71993,72149,72380,71850,9520,-0.21
2024-05-28,72145,71993,72390,71720,10070,0.2
2024-05-27,72001,71847,72150,71552,11000,0.87
2024-05-24,71380,71773,71773,71280,11670,-0.35
2024-05-23,71632,72596,72726,71551,18390,-1.91
2024-05-22,73027,73993,73993,72970,15630,-1.27
2024-05-21,73970,73911,74285,73623,13670,-0.42
2024-05-20,74283,73929,74345,73542,12790,0.94
2024-05-17,73593,72798,73650,72760,16470,0.96
2024-05-16,72896,72860,73194,72701,12280,-0.14
2024-05-15,73001,72270,73041,72200,21500,1.09
2024-05-14,72213,71950,72257,71810,11480,0.55
2024-05-13,71819,72405,72405,71735,16920,-1.07
2024-05-10,72595,71690,72751,71690,21550,1.41
2024-05-09,71586,71002,71656,70910,18150,0.64
2024-05-08,71129,71170,71290,70900,11770,-0.01
2024-05-07,71136,71339,71365,70967,9590,-0.26
2024-05-06,71321,70690,71475,70690,16430,0.45
2024-05-03,70998,71009,71275,70586,210,-0.17
2024-05-02,71119,71871,71871,70800,380,-0.22
2024-05-01,71274,71130,71439,71005,210,0.43
2024-04-30,70969,72201,72201,70900,1990,-1.77
2024-04-29,72250,71953,72399,71805,4310,0.2
2024-04-26,72107,71782,72402,71636,10510,0.53
2024-04-25,71725,71559,71987,71300,10770,0.05
2024-04-24,71692,71750,71909,71394,10600,0.14
2024-04-23,71590,71710,71770,71010,18480,-0.48
2024-04-22,71936,73001,73001,71808,20680,-1.79
2024-04-19,73246,73171,73350,72821,18010,0.31
2024-04-18,73016,72666,73130,72639,13830,0.44
2024-04-17,72695,73197,73379,72550,15890,-0.57
2024-04-16,73109,72500,73335,72427,24810,1.08
2024-04-15,72329,71963,72410,71303,24040,0.66
2024-04-12,71857,71774,73931,71721,41610,0.48
2024-04-11,71514,71209,71549,70983,8890,0.54
2024-04-10,71127,71181,71479,70702,23200,0.0
2024-04-09,71130,70700,71448,70673,21010,0.74
2024-04-08,70607,70595,70776,70189,15270,-0.13
2024-04-05,70701,69560,71499,69455,120,1.56
2024-04-04,69612,69850,70200,69400,270,-0.16
2024-04-03,69725,70379,70379,69000,420,1.34
2024-04-02,68802,68550,69014,68500,610,0.79
2024-04-01,68263,68211,69387,68000,3020,0.99
2024-03-28,67592,66370,67870,66370,14140,1.96
2024-03-27,66295,66028,66380,65960,8910,0.41
2024-03-26,66027,65800,66280,65711,13050,0.25
2024-03-25,65862,66250,66350,65800,4180,0.27
2024-03-22,65686,65733,66061,65600,11510,-0.38
2024-03-21,65939,65456,66785,65390,19090,0.58
2024-03-20,65556,65455,65670,65400,7390,0.19
2024-03-19,65431,65452,65541,65222,8440,0.0
2024-03-18,65429,65252,65548,65041,8910,0.09
2024-03-15,65367,65484,65695,65349,7770,-0.1
2024-03-14,65435,65620,65675,65280,8360,-0.43
2024-03-13,65717,65490,65842,65300,8630,0.59
2024-03-12,65334,65852,65867,65260,15980,-0.82
2024-03-11,65872,66000,66026,65750,8450,0.04
2024-03-08,65847,65375,66120,65315,16030,0.92
2024-03-07,65246,65150,65419,65055,13400,0.31
2024-03-06,65042,64659,65127,64559,13400,1.32
2024-03-05,64193,64059,64541,64050,10,0.92
2024-03-04,63605,63153,64135,62620,90,0.74
2024-03-01,63135,62314,63190,62200,150,1.35
2024-02-29,62293,61835,62335,61810,640,0.81
2024-02-28,61792,61726,61948,61516,6650,-0.08
2024-02-27,61839,61888,61963,61744,11120,0.12
2024-02-26,61766,61948,61948,61666,6150,-0.23
2024-02-23,61910,61657,61936,61493,8910,0.4
2024-02-22,61661,61800,61943,61622,6620,-0.13
2024-02-21,61744,61850,61899,61690,4510,-0.11
2024-02-20,61810,61623,61870,61554,6250,0.27
2024-02-19,61641,61588,61770,61512,5100,0.23
2024-02-16,61498,61331,61525,61135,7190,0.31
2024-02-15,61306,61163,61420,61042,7050,0.22
2024-02-14,61170,61115,61211,60922,8990,-0.16
2024-02-13,61267,61965,62150,61153,14350,-0.95
2024-02-12,61856,62079,62079,61735,9080,-0.4
2024-02-09,62105,62249,62300,61966,6310,-0.18
2024-02-08,62219,62255,62329,62005,7530,-0.14
2024-02-07,62305,62243,62462,62191,5660,-0.03
2024-02-06,62322,62081,62367,62015,7330,-0.35
2024-02-05,62542,63441,63441,62400,80,-0.15
2024-02-02,62639,63360,63640,62453,230,-0.7
2024-02-01,63079,62900,63400,62430,160,0.34
2024-01-31,62865,62580,62982,62063,340,0.79
2024-01-30,62371,62280,62730,62254,3060,0.22
2024-01-29,62234,62196,62370,62125,10910,0.32
2024-01-25,62036,62047,62195,61933,8610,-0.06
2024-01-24,62072,62124,62294,61950,11110,0.11
2024-01-23,62003,61917,62239,61873,8770,0.19
2024-01-22,61888,62021,62030,61755,3840,-0.21
2024-01-19,62021,61874,62246,61850,10620,0.37
2024-01-18,61791,61600,61830,61512,8140,0.37
2024-01-17,61561,62091,62115,61515,13550,-0.81
2024-01-16,62065,62500,62530,62013,11280,-0.8
2024-01-15,62567,62521,62644,62448,4990,0.31
2024-01-12,62372,62098,62669,62098,15330,0.88
2024-01-11,61830,62102,62462,61775,13130,-0.35
2024-01-10,62047,62240,62390,62010,8400,-0.26
2024-01-09,62211,62211,62489,62152,9520,0.11
2024-01-08,62140,62530,62536,61977,14950,-0.78
2024-01-05,62627,62465,62763,62250,80,0.29
2024-01-04,62444,62518,62555,62218,60,0.24
2024-01-03,62294,63057,63122,62223,1250,-1.18
2024-01-02,63039,63072,63338,62894,680,0.06
2024-01-01,63001,63035,63188,62893,2410,0.07
2023-12-29,62954,62993,63107,62783,6770,-0.26
2023-12-28,63119,63119,63471,62969,7810,-0.27
2023-12-27,63292,62835,63317,62828,8280,0.91
2023-12-26,62722,63127,63250,62616,5660,0.1
2023-12-22,62657,62355,62948,62355,12200,0.64
2023-12-21,62257,62197,62417,62111,7000,0.17
2023-12-20,62151,62238,62332,62053,7000,-0.1
2023-12-19,62211,61960,62377,61850,7840,0.25
2023-12-18,62057,62587,62587,61714,6480,0.11
2023-12-15,61991,62232,62365,61880,8440,-0.38
2023-12-14,62229,61350,62625,61350,18880,2.03
2023-12-13,60992,60946,61125,60758,9060,0.01
2023-12-12,60984,60711,61400,60711,11020,0.0
2023-12-11,60986,61595,61636,60957,13740,-0.99
2023-12-08,61597,62385,62386,61525,15530,-1.11
2023-12-07,62290,62205,62578,62088,9880,0.03
2023-12-06,62269,62169,62419,62055,10640,-0.53
2023-12-05,62600,63303,63303,61941,80,0.48
2023-12-04,62302,64342,64344,62254,180,-0.91
2023-12-01,62876,62634,62993,62409,210,0.38
2023-11-30,62639,62609,62750,62365,360,0.27
2023-11-29,62470,62300,62676,62271,2620,0.1
2023-11-28,62409,61601,62512,61450,10550,1.38
2023-11-27,61557,61399,61685,61399,4380,0.33
2023-11-24,61352,61128,61388,61101,6850,0.42
2023-11-23,61093,60950,61223,60950,5060,0.05
2023-11-22,61065,61058,61360,60977,8380,-0.24
2023-11-21,61212,60738,61330,60738,14350,0.91
2023-11-20,60657,60678,60745,60375,8930,-0.03
2023-11-17,60678,60697,60957,60610,10030,0.04
2023-11-16,60654,60099,60800,60093,13330,0.89
2023-11-15,60120,59814,60400,59500,9310,0.06
2023-11-14,60083,59853,60344,59757,7860,0.4
2023-11-13,59844,59791,59915,59521,8340,0.1
2023-11-12,59785,59600,59800,59600,1090,0.15
2023-11-10,59697,60231,60247,59672,11820,-0.95
2023-11-09,60271,59959,60339,59801,11150,0.38
2023-11-08,60043,60401,60460,59979,11790,-0.53
2023-11-07,60365,60746,60746,60200,11600,-0.74
2023-11-06,60818,60851,60980,60750,7710,-0.02
2023-11-03,60829,60822,61590,60005,240,0.04
2023-11-02,60805,60828,60845,60666,190,0.08
2023-11-01,60757,60729,61478,60621,200,-0.2
2023-10-31,60879,61021,61688,60800,360,-0.32
2023-10-30,61077,60952,61280,60952,4350,0.21
2023-10-27,60952,60759,61056,60588,7890,0.36
2023-10-26,60735,60673,60880,60410,10480,0.14
2023-10-25,60652,60282,60680,60180,14340,0.5
2023-10-24,60351,60400,60401,59958,7290,-0.08
2023-10-23,60402,60100,60525,60100,10990,0.0
2023-10-20,60405,59978,60740,59935,17320,0.78
2023-10-19,59935,59600,59978,59481,12200,0.43
2023-10-18,59680,59127,59846,59127,16040,1.29
2023-10-17,58922,58850,59100,58700,7160,-0.12
2023-10-16,58993,58880,58993,58600,7880,0.0
2023-10-13,58993,57665,59019,57634,23770,2.4
2023-10-12,57613,57721,57900,57575,8260,-0.04
2023-10-11,57636,57387,57742,57340,8000,0.47
2023-10-10,57364,57320,57450,57230,7420,0.17
2023-10-09,57268,56720,57300,56720,9880,1.21
2023-10-06,56582,56486,56641,56160,11220,0.84
2023-10-05,56112,55913,56336,55913,320,-0.21
2023-10-04,56229,56280,56367,56205,140,-0.28
2023-10-03,56385,56323,56490,56251,80,-1.18
2023-09-29,57061,57445,57727,56802,340,-0.15
2023-09-28,57146,57675,57788,56674,6960,-1.06
2023-09-27,57759,58466,58478,57662,13130,-1.23
2023-09-26,58478,58656,58700,58454,9340,-0.39
2023-09-25,58707,58860,58948,58674,6480,-0.32
2023-09-22,58896,58800,58948,58721,5380,0.07
2023-09-21,58853,59300,59300,58726,9320,-0.86
2023-09-20,59363,59167,59388,59100,6430,0.17
2023-09-19,59265,59250,59350,59231,2650,0.09
2023-09-18,59212,59079,59225,59056,5050,0.37
2023-09-15,58992,58690,59111,58677,8140,0.66
2023-09-14,58608,58500,58635,58385,6590,0.0
2023-09-13,58610,58576,58726,58527,5100,-0.05
2023-09-12,58642,58999,58999,58576,8320,-0.51
2023-09-11,58941,58932,59120,58902,4160,0.06
2023-09-08,58905,59117,59200,58872,5870,-0.19
2023-09-07,59016,59124,59125,58981,4270,-0.16
2023-09-06,59111,59208,59310,59021,6940,-0.32
2023-09-05,59301,59550,59550,59150,30,-0.14
2023-09-04,59385,59125,59540,59101,90,0.47
2023-09-01,59106,59082,59507,59051,400,-0.01
2023-08-31,59113,59138,59379,59001,200,-0.01
2023-08-30,59117,58832,59164,58830,5370,0.47
2023-08-29,58843,58620,58880,58430,11850,0.59
2023-08-28,58497,58300,58600,58206,8810,0.38
2023-08-25,58273,58383,58520,58171,9060,-0.28
2023-08-24,58436,58448,58533,58261,7110,0.01
2023-08-23,58430,58290,58456,58160,7780,0.36
2023-08-22,58221,58164,58328,58073,6850,0.1
2023-08-21,58164,58110,58320,57992,8850,0.11
2023-08-18,58098,58169,58265,58055,4990,0.12
2023-08-17,58027,58385,58390,58007,8380,-0.66
2023-08-16,58413,58598,58619,58401,5670,-0.43
2023-08-14,58663,58744,58744,58525,4960,0.06
2023-08-11,58629,58582,58741,58487,6650,0.04
2023-08-10,58605,58680,58879,58508,7820,-0.19
2023-08-09,58719,59051,59097,58702,9960,-0.47
2023-08-08,58997,59161,59215,58950,9730,-0.34
2023-08-07,59201,59325,59380,59135,8380,0.13
2023-08-04,59124,59074,59249,59037,20,0.08
2023-08-03,59078,59099,59860,58950,160,-0.07
2023-08-02,59117,59241,59399,59041,130,0.12
2023-08-01,59048,59528,59528,59029,780,-0.97
2023-07-31,59628,59064,59702,59064,4230,0.57
2023-07-28,59288,58989,59335,58910,10910,0.7
2023-07-27,58878,59455,59538,58711,13670,-0.79
2023-07-26,59347,59199,59460,59097,9910,0.38
2023-07-25,59120,59057,59191,58870,8850,0.18
2023-07-24,59013,59188,59234,58967,8039,-0.35
2023-07-21,59221,59460,59500,59110,7400,-0.4
2023-07-20,59459,59750,59842,59338,9930,-0.38
2023-07-19,59683,59650,59739,59505,7000,0.08
2023-07-18,59633,59135,59767,59112,15280,0.97
2023-07-17,59061,59095,59180,58861,8540,-0.28
2023-07-14,59229,59207,59320,59083,7720,0.07
2023-07-13,59185,59150,59325,59050,9300,0.12
2023-07-12,59113,58790,59168,58688,13170,0.64
2023-07-11,58737,58601,58840,58553,8870,0.17
2023-07-10,58635,58690,58720,58390,9830,-0.19
2023-07-07,58747,58396,58898,58313,13140,0.62
2023-07-06,58385,58469,58637,58150,13960,0.13
2023-07-05,58308,58186,58450,58148,120,0.2
2023-07-04,58194,58171,58239,58124,20,0.13
2023-07-03,58119,57979,58205,57830,70,0.17
2023-06-30,58020,57743,58059,57673,440,0.77
2023-06-29,57578,57600,57811,57375,6460,-0.38
2023-06-28,57796,58080,58080,57690,10090,-0.38
2023-06-27,58015,58350,58391,57930,8400,-0.41
2023-06-26,58256,58282,58495,58211,7600,0.12
2023-06-23,58188,58111,58594,58046,10120,0.08
2023-06-22,58144,58553,58644,58111,10480,-0.83
2023-06-21,58630,58702,58762,58326,9890,-0.15
2023-06-20,58721,59064,59238,58555,11770,-0.55
2023-06-19,59043,59126,59260,59005,6090,-0.35
2023-06-16,59249,59250,59427,59156,9350,0.0
2023-06-15,59249,59100,59275,58600,16410,0.0
2023-06-14,59249,59294,59390,59105,11390,0.05
2023-06-13,59222,59680,59800,59151,15370,-0.63
2023-06-12,59595,59680,59850,59484,9120,-0.3
2023-06-09,59777,59805,60040,59676,7820,-0.05
2023-06-08,59809,59550,59950,59410,14350,0.5
2023-06-07,59511,59900,60025,59410,14680,-0.65
2023-06-06,59902,59773,59998,59701,8000,0.16
2023-06-05,59805,59588,60200,59200,40,0.25
2023-06-02,59656,60449,60449,59601,60,-0.63
2023-06-01,60033,60100,60718,59696,350,-0.36
2023-05-31,60252,59868,60368,59834,320,0.68
2023-05-30,59845,58900,59946,58900,3450,0.82
2023-05-29,59358,59450,59599,59250,8790,-0.12
2023-05-26,59430,59570,59690,59301,9040,-0.11
2023-05-25,59493,59752,60000,59411,11030,-0.71
2023-05-24,59918,60288,60395,59797,10440,-0.5
2023-05-23,60220,60033,60271,59774,11250,-0.08
2023-05-22,60271,60485,60510,60140,7430,-0.2
2023-05-19,60389,59748,60492,59748,12690,1.06
2023-05-18,59758,60148,60170,59621,12490,-0.72
2023-05-17,60189,60389,60420,60010,9460,-0.15
2023-05-16,60280,60938,60980,60200,14190,-1.16
2023-05-15,60987,60740,61081,60740,7710,0.24
2023-05-12,60843,60849,61031,60532,14970,-0.07
2023-05-11,60886,61228,61450,60801,18620,-0.52
2023-05-10,61207,61265,61571,60957,16020,-0.25
2023-05-09,61359,60916,61390,60906,11890,0.73
2023-05-08,60916,60750,61042,60750,9010,0.19
2023-05-05,60799,61899,61899,60200,110,-1.43
2023-05-04,61683,61374,61898,61150,180,1.0
2023-05-03,61073,60925,61146,60700,190,0.47
2023-05-02,60787,60050,60861,59900,710,1.35
2023-05-01,59979,60170,60449,59900,1490,-0.13
2023-04-28,60057,59888,60124,59741,7030,0.24
2023-04-27,59913,60100,60248,59605,9710,0.11
2023-04-26,59849,60085,60300,59805,10020,-0.46
2023-04-25,60123,59980,60195,59701,11510,0.33
2023-04-24,59928,59652,59978,59575,8500,0.2
2023-04-21,59810,60311,60373,59565,17110,-0.96
2023-04-20,60389,59932,60549,59932,10300,0.36
2023-04-19,60172,60323,60384,59627,17270,-0.26
2023-04-18,60331,60050,60499,60007,11380,0.47
2023-04-17,60051,60050,60444,59764,13500,-0.16
2023-04-14,60145,60986,60986,59918,14070,-1.38
2023-04-13,60987,60498,61142,60461,14930,0.97
2023-04-12,60404,60390,60822,60151,14070,0.2
2023-04-11,60281,59980,60350,59961,9790,0.69
2023-04-10,59867,60012,60200,59730,10300,-0.68
2023-04-06,60276,60500,60580,60075,10850,-0.15
2023-04-05,60366,60599,60949,60100,350,-0.11
2023-04-04,60435,59558,60625,59558,160,1.4
2023-04-03,59600,59750,59760,59031,290,0.48
2023-03-31,59314,59312,59670,59247,890,-0.13
2023-03-30,59389,59044,59456,58891,2690,0.66
2023-03-29,58997,58899,59089,58665,8700,0.02
2023-03-28,58986,58657,59051,58463,8910,0.84
2023-03-27,58496,59257,59257,58401,12460,-1.23
2023-03-24,59226,59410,59892,59141,15160,-0.35
2023-03-23,59436,58769,59490,58769,13200,1.28
2023-03-22,58684,58515,58772,58380,10090,0.28
2023-03-21,58520,59472,59632,58474,16820,-1.52
2023-03-20,59424,59317,60320,59120,24580,0.33
2023-03-17,59231,58250,59295,58066,16730,2.22
2023-03-16,57942,58186,58430,57800,14100,-0.55
2023-03-15,58263,57420,58557,57015,20000,1.47
2023-03-14,57417,57001,57678,57000,11660,-0.21
2023-03-13,57539,56216,57600,56216,18780,2.56
2023-03-10,56101,55257,56147,55253,13840,1.5
2023-03-09,55272,54987,55395,54819,9130,0.58
2023-03-08,54955,55010,55140,54888,7210,-0.22
2023-03-07,55077,55655,55677,55050,7900,-1.21
2023-03-06,55752,55605,55986,55605,6390,-0.23
2023-03-03,55879,55999,56029,55710,60,-0.06
2023-03-02,55915,55935,56050,55100,170,-0.24
2023-03-01,56047,55990,56144,55799,110,0.6
2023-02-28,55714,55549,55999,55325,380,0.48
2023-02-27,55447,55503,55540,55341,2610,-0.16
2023-02-24,55535,55794,55794,55486,6660,-0.17
2023-02-23,55630,56000,56000,55566,6190,-0.77
2023-02-22,56060,56103,56350,55963,6300,-0.17
2023-02-21,56157,56181,56285,56000,6390,-0.08
2023-02-20,56202,56194,56339,56181,3510,-0.05
2023-02-17,56232,56348,56348,55737,9200,0.01
2023-02-16,56229,56235,56280,55929,8920,0.14
2023-02-15,56151,56634,56634,56103,10490,-0.93
2023-02-14,56679,56560,56949,56367,16320,0.34
2023-02-13,56486,56759,56839,56466,7870,-0.4
2023-02-10,56711,56740,56800,56465,10530,-0.15
2023-02-09,56797,57117,57281,56690,9660,-0.58
2023-02-08,57128,57188,57303,56930,7560,-0.08
2023-02-07,57175,57000,57269,56888,9070,0.44
2023-02-06,56926,56690,57076,56665,10030,-0.87
2023-02-03,57424,57962,57990,57202,90,-0.5
2023-02-02,57710,58299,58895,57700,210,0.19
2023-02-01,57599,56879,58100,56800,640,1.29
2023-01-31,56864,56700,56935,56460,1040,0.19
2023-01-30,56754,56760,57001,56588,4850,-0.06
2023-01-27,56789,56730,56895,56500,10210,-0.13
2023-01-25,56865,56895,56929,56650,6580,-0.03
2023-01-24,56881,56815,57000,56633,9070,0.31
2023-01-23,56705,56610,56799,56385,8710,0.24
2023-01-20,56569,56540,56768,56507,6480,0.22
2023-01-19,56443,56299,56470,56187,7670,0.4
2023-01-18,56220,56289,56492,56073,9600,-0.15
2023-01-17,56306,56230,56430,56230,6770,-0.19
2023-01-16,56414,56295,56460,56262,5510,0.34
2023-01-13,56224,55845,56253,55800,11810,0.76
2023-01-12,55801,55700,55920,55550,8850,0.29
2023-01-11,55641,55655,55855,55472,7340,0.0
2023-01-10,55642,55849,55879,55580,6970,-0.27
2023-01-09,55792,55952,56077,55721,8180,0.29
2023-01-06,55628,55303,55700,55205,9170,1.01
2023-01-05,55071,56107,56107,54997,740,-1.11
2023-01-04,55688,55600,55821,55555,450,0.56
2023-01-03,55380,55419,55820,55264,1590,0.66
2023-01-02,55016,54900,55029,54898,550,0.43